,Phrase,Scrape,Keyword,Score,URL,Page
0,"('and', 'certifications', 'free', 'and')",244568,seo course 2020,80.0,https://www.mobidea.com/academy/seo-training-courses-list/,3242192
1,"('and', 'guides', 'on', 'the')",244568,seo course 2020,80.0,https://www.quicksprout.com/best-seo-courses-and-guides/,3242198
2,"('best', 'seo', 'courses', 'and')",244568,seo course 2020,80.0,https://www.quicksprout.com/best-seo-courses-and-guides/,3242198
3,"('best', 'seo', 'training', 'courses')",244568,seo course 2020,80.0,https://www.mobidea.com/academy/seo-training-courses-list/,3242192
4,"('certifications', 'free', 'and', 'paid')",244568,seo course 2020,80.0,https://www.mobidea.com/academy/seo-training-courses-list/,3242192
5,"('courses', 'and', 'certifications', 'free')",244568,seo course 2020,80.0,https://www.mobidea.com/academy/seo-training-courses-list/,3242192
6,"('courses', 'and', 'guides', 'on')",244568,seo course 2020,80.0,https://www.quicksprout.com/best-seo-courses-and-guides/,3242198
7,"('guides', 'on', 'the', 'internet')",244568,seo course 2020,80.0,https://www.quicksprout.com/best-seo-courses-and-guides/,3242198
8,"('hour', 'guide', 'to', 'seo')",244568,seo course 2020,80.0,https://moz.com/learn/seo,3242193
9,"('one', 'hour', 'guide', 'to')",244568,seo course 2020,80.0,https://moz.com/learn/seo,3242193
10,"('share', 'credits', 'example', 'ɪgz')",244566,example,55.0,https://www.collinsdictionary.com/dictionary/english/example,3242179
11,"('credits', 'example', 'ɪgz', 'ɑː')",244566,example,53.0,https://www.collinsdictionary.com/dictionary/english/example,3242179
12,"('a1', 'something', 'that', 'is')",244566,example,52.0,https://dictionary.cambridge.org/us/dictionary/english/example,3242173
13,"('entries', 'for', 'this', 'word')",244566,example,52.0,https://www.macmillandictionary.com/us/dictionary/american/example,3242175
14,"('of', 'thing', 'that', 'you')",244566,example,52.0,https://www.macmillandictionary.com/us/dictionary/american/example,3242175
15,"('of', 'things', 'that', 'it')",244566,example,52.0,https://dictionary.cambridge.org/us/dictionary/english/example,3242173
16,"('other', 'entries', 'for', 'this')",244566,example,52.0,https://www.macmillandictionary.com/us/dictionary/american/example,3242175
17,"('that', 'it', 'is', 'a')",244566,example,52.0,https://dictionary.cambridge.org/us/dictionary/english/example,3242173
18,"('thing', 'that', 'you', 'are')",244566,example,52.0,https://www.macmillandictionary.com/us/dictionary/american/example,3242175
19,"('things', 'that', 'it', 'is')",244566,example,52.0,https://dictionary.cambridge.org/us/dictionary/english/example,3242173
20,"('what', 'is', 'content', 'marketing')",244562,content,80.0,https://contentmarketinginstitute.com/what-is-content-marketing/,3242096
21,"('is', 'content', 'marketing', 'useful')",244562,content,76.0,https://contentmarketinginstitute.com/what-is-content-marketing/,3242096
22,"('content', 'marketing', 'useful', 'content')",244562,content,72.0,https://contentmarketinginstitute.com/what-is-content-marketing/,3242096
23,"('marketing', 'useful', 'content', 'should')",244562,content,68.0,https://contentmarketinginstitute.com/what-is-content-marketing/,3242096
24,"('at', 'the', 'core', 'of')",244562,content,64.0,https://contentmarketinginstitute.com/what-is-content-marketing/,3242096
25,"('be', 'at', 'the', 'core')",244562,content,64.0,https://contentmarketinginstitute.com/what-is-content-marketing/,3242096
26,"('core', 'of', 'your', 'marketing')",244562,content,64.0,https://contentmarketinginstitute.com/what-is-content-marketing/,3242096
27,"('should', 'be', 'at', 'the')",244562,content,64.0,https://contentmarketinginstitute.com/what-is-content-marketing/,3242096
28,"('the', 'core', 'of', 'your')",244562,content,64.0,https://contentmarketinginstitute.com/what-is-content-marketing/,3242096
29,"('useful', 'content', 'should', 'be')",244562,content,64.0,https://contentmarketinginstitute.com/what-is-content-marketing/,3242096
30,"('pozycjonowanie', 'stron', 'internetowych', 'seo')",244560,pozycjonowanie stron,80.0,https://www.sempire.pl/pozycjonowanie-stron.html,3242075
31,"('stron', 'internetowych', 'seo', 'pozycjonowanie')",244560,pozycjonowanie stron,73.0,https://www.sempire.pl/pozycjonowanie-stron.html,3242075
32,"('pozycjonowanie', 'stron', 'w', 'google')",244560,pozycjonowanie stron,68.0,https://www.szymonslowik.pl/pozycjonowanie-stron/,3242079
33,"('internetowych', 'seo', 'pozycjonowanie', 'stron')",244560,pozycjonowanie stron,66.0,https://www.sempire.pl/pozycjonowanie-stron.html,3242075
34,"('czyli', 'czym', 'zajmujemy', 'się')",244560,pozycjonowanie stron,64.0,https://www.szymonslowik.pl/pozycjonowanie-stron/,3242079
35,"('czym', 'zajmujemy', 'się', 'na')",244560,pozycjonowanie stron,64.0,https://www.szymonslowik.pl/pozycjonowanie-stron/,3242079
36,"('faq', 'o', 'pozycjonowaniu', 'stron')",244560,pozycjonowanie stron,64.0,http://mateuszkozlowski.pl/,3242080
37,"('internetowego', 'nasi', 'klienci', 'otrzymują')",244560,pozycjonowanie stron,64.0,https://widoczni.com/pozycjonowanie-stron/,3242076
38,"('klienci', 'którzy', 'skorzystali', 'z')",244560,pozycjonowanie stron,64.0,https://www.szymonslowik.pl/pozycjonowanie-stron/,3242079
39,"('klienci', 'otrzymują', 'je', 'w')",244560,pozycjonowanie stron,64.0,https://widoczni.com/pozycjonowanie-stron/,3242076
40,"('contractors', 'in', 'milwaukee', 'wi')",244557,roofing company milwaukee,80.0,https://www.homeadvisor.com/c.Roofing.Milwaukee.WI.-12061.html,3242001
41,"('roofing', 'contractors', 'in', 'milwaukee')",244557,roofing company milwaukee,80.0,https://www.homeadvisor.com/c.Roofing.Milwaukee.WI.-12061.html,3242001
42,"('top', 'roofing', 'contractors', 'in')",244557,roofing company milwaukee,80.0,https://www.homeadvisor.com/c.Roofing.Milwaukee.WI.-12061.html,3242001
43,"('in', 'milwaukee', 'wi', 'find')",244557,roofing company milwaukee,72.0,https://www.homeadvisor.com/c.Roofing.Milwaukee.WI.-12061.html,3242001
44,"('1975', 'choose', 'care', 'quality')",244557,roofing company milwaukee,68.0,https://www.communityroofingandrestoration.com/,3241996
45,"('choose', 'care', 'quality', 'craftsmanship')",244557,roofing company milwaukee,68.0,https://www.communityroofingandrestoration.com/,3241996
46,"('contractors', 'since', '1975', 'choose')",244557,roofing company milwaukee,68.0,https://www.communityroofingandrestoration.com/,3241996
47,"('get', 'matched', 'with', 'top')",244557,roofing company milwaukee,68.0,https://www.angieslist.com/companylist/milwaukee/roofing.htm,3241995
48,"('it', 'from', 'the', 'elements')",244557,roofing company milwaukee,68.0,https://robsroofingllc.com/,3241994
49,"('matched', 'with', 'top', 'roofing')",244557,roofing company milwaukee,68.0,https://www.angieslist.com/companylist/milwaukee/roofing.htm,3241995
50,"('basics', 'complete', 'beginner', 's')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
51,"('beginner', 's', 'guide', 'to')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
52,"('complete', 'beginner', 's', 'guide')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
53,"('guide', 'to', 'search', 'engine')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
54,"('is', 'seo', 'search', 'engine')",244555,seo,80.0,"https://ahrefs.com/blog/what-is-seo/, https://searchengineland.com/guide/what-is-seo","3241981, 3241975"
55,"('s', 'guide', 'to', 'search')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
56,"('search', 'engine', 'optimization', 'explained')",244555,seo,80.0,https://ahrefs.com/blog/what-is-seo/,3241981
57,"('seo', 'basics', 'complete', 'beginner')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
58,"('seo', 'search', 'engine', 'optimization')",244555,seo,80.0,"https://ahrefs.com/blog/what-is-seo/, https://searchengineland.com/guide/what-is-seo","3241981, 3241975"
59,"('to', 'search', 'engine', 'optimization')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
60,"('2018', 'content', 'marketing', 'toolkit')",244553,content marketing planner,80.0,https://contentmarketinginstitute.com/2017/12/content-tips-templates-checklists/,3241957
61,"('a', 'content', 'marketing', 'plan')",244553,content marketing planner,80.0,https://www.smartinsights.com/content-management/content-marketing-strategy/how-to-create-a-content-marketing-plan-for-2020/,3241962
62,"('build', 'the', 'perfect', 'content')",244553,content marketing planner,80.0,https://quuu.co/blog/content-calendar-for-2020/,3241958
63,"('content', 'calendar', 'for', '2020')",244553,content marketing planner,80.0,https://quuu.co/blog/content-calendar-for-2020/,3241958
64,"('content', 'marketing', 'plan', 'for')",244553,content marketing planner,80.0,https://www.smartinsights.com/content-management/content-marketing-strategy/how-to-create-a-content-marketing-plan-for-2020/,3241962
65,"('content', 'marketing', 'plan', 'how')",244553,content marketing planner,80.0,https://quuu.co/blog/content-calendar-for-2020/,3241958
66,"('content', 'marketing', 'planner', 'for')",244553,content marketing planner,80.0,https://keap.com/resources/tools/ultimate-content-marketing-planner-for-small-business-owners,3241960
67,"('content', 'marketing', 'toolkit', 'tips')",244553,content marketing planner,80.0,https://contentmarketinginstitute.com/2017/12/content-tips-templates-checklists/,3241957
68,"('create', 'a', 'content', 'marketing')",244553,content marketing planner,80.0,https://www.smartinsights.com/content-management/content-marketing-strategy/how-to-create-a-content-marketing-plan-for-2020/,3241962
69,"('for', 'small', 'business', 'owners')",244553,content marketing planner,80.0,https://keap.com/resources/tools/ultimate-content-marketing-planner-for-small-business-owners,3241960
70,"('kosmetyczki', 'w', 'puławach', '2020')",244525,kosmetyczka puławy,44.0,https://www.oferteo.pl/kosmetyczki/pulawy,3241133
71,"('materiały', 'ze', 'słowem', 'kluczowym')",244525,kosmetyczka puławy,44.0,https://pulawy.naszemiasto.pl/tag/kosmetyczka-pulawy,3241141
72,"('najlepsze', 'kosmetyczki', 'w', 'puławach')",244525,kosmetyczka puławy,44.0,https://www.oferteo.pl/kosmetyczki/pulawy,3241133
73,"('piękności', 'agnes', 'agnieszka', 'ostańska')",244525,kosmetyczka puławy,44.0,http://salony-kosmetyczne.com/salon/szczegoly/479,3241159
74,"('studio', 'piękności', 'agnes', 'agnieszka')",244525,kosmetyczka puławy,44.0,http://salony-kosmetyczne.com/salon/szczegoly/479,3241159
75,"('puławy', 'w', 'mieście', 'puławy')",244525,kosmetyczka puławy,43.0,https://pulawy.naszemiasto.pl/tag/kosmetyczka-pulawy,3241141
76,"('w', 'puławach', '2020', '47')",244525,kosmetyczka puławy,43.0,https://www.oferteo.pl/kosmetyczki/pulawy,3241133
77,"('ze', 'słowem', 'kluczowym', 'kosmetyczka')",244525,kosmetyczka puławy,43.0,https://pulawy.naszemiasto.pl/tag/kosmetyczka-pulawy,3241141
78,"('kluczowym', 'kosmetyczka', 'puławy', 'w')",244525,kosmetyczka puławy,42.0,https://pulawy.naszemiasto.pl/tag/kosmetyczka-pulawy,3241141
79,"('kosmetyczka', 'puławy', 'w', 'mieście')",244525,kosmetyczka puławy,42.0,https://pulawy.naszemiasto.pl/tag/kosmetyczka-pulawy,3241141
80,"('cena', '89', '00', 'zł')",244524,kosmetyczka,44.0,https://fabrykaform.pl/reisenthel-kosmetyczka-toiletbag,3241223
81,"('82', '80', 'zł', 'dodaj')",244524,kosmetyczka,40.0,https://taternik-sklep.pl/kosmetyczka-deuter-wash-center-lite.html,3241208
82,"('dopasowywanie', 'treści', 'oraz', 'promocji')",244524,kosmetyczka,40.0,https://www.eobuwie.com.pl/akcesoria/kosmetyczki-i-kuferki.html,3241182
83,"('i', 'wyszczuplić', 'twarz', 'u')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
84,"('kosmetyczki', 'z', 'poznania', 'lekarz')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
85,"('lekarz', 'zszokowany', 'zabiegiem', 'skończyło')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
86,"('na', 'dopasowywanie', 'treści', 'oraz')",244524,kosmetyczka,40.0,https://www.eobuwie.com.pl/akcesoria/kosmetyczki-i-kuferki.html,3241182
87,"('poznania', 'lekarz', 'zszokowany', 'zabiegiem')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
88,"('twarz', 'u', 'kosmetyczki', 'z')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
89,"('u', 'kosmetyczki', 'z', 'poznania')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
90,"('00', '18', '00', 'sob')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
91,"('00', 'sob', '10', '00')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
92,"('18', '00', 'sob', '10')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
93,"('796', '15', '15', '15')",244510,ślusarz warszawa,40.0,http://slusarz-warszawa24h.pl/,3240957
94,"('9', '00', '18', '00')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
95,"('dorabiania', 'kluczy', 'pon', 'pt')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
96,"('dzwoń', '796', '15', '15')",244510,ślusarz warszawa,40.0,http://slusarz-warszawa24h.pl/,3240957
97,"('kluczy', 'pon', 'pt', '9')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
98,"('najlepsi', 'ślusarze', 'w', 'warszawie')",244510,ślusarz warszawa,40.0,https://www.oferteo.pl/slusarz/warszawa,3240960
99,"('pogotowie', 'zamkowe', 'warszawa', '24h')",244510,ślusarz warszawa,40.0,http://www.pogotowiezamkowe.com.pl/,3240959
100,"('a', 'new', 'era', 'at')",244509,npl,44.0,https://gonpl.com/,3240942
101,"('at', 'npl', 'build', 'your')",244509,npl,44.0,https://gonpl.com/,3240942
102,"('build', 'your', 'career', 'on')",244509,npl,44.0,https://gonpl.com/,3240942
103,"('career', 'on', 'solid', 'ground')",244509,npl,44.0,https://gonpl.com/,3240942
104,"('era', 'at', 'npl', 'build')",244509,npl,44.0,https://gonpl.com/,3240942
105,"('five', 'decades', 'of', 'expertise')",244509,npl,44.0,https://gonpl.com/,3240942
106,"('new', 'era', 'at', 'npl')",244509,npl,44.0,https://gonpl.com/,3240942
107,"('npl', 'build', 'your', 'career')",244509,npl,44.0,https://gonpl.com/,3240942
108,"('on', 'five', 'decades', 'of')",244509,npl,44.0,https://gonpl.com/,3240942
109,"('your', 'career', 'on', 'solid')",244509,npl,44.0,https://gonpl.com/,3240942
